reduction -- vector examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,
4160000,12432350,4186533,3186391,1625803,1115560,1122583,2.988545673,1.006378125,0.765959375,0.390818029,0.268163462,0.269851683
4192000,12526394,4217164,3210799,1642728,1119225,1126365,2.988166508,1.006002863,0.765934876,0.391872137,0.266990697,0.268693941
4224000,12621357,4251312,3238324,1656535,1126989,1138392,2.988010653,1.006465909,0.766648674,0.392172112,0.266806108,0.269505682
4256000,12720624,4282987,3259821,1671067,1139841,1143228,2.988868421,1.00634093,0.765935385,0.392637923,0.267819784,0.268615602
4288000,12813132,4316714,3282739,1682925,1144125,1155624,2.988137127,1.006696362,0.765564132,0.392473181,0.266820196,0.269501866
4320000,12908450,4346496,3310564,1698873,1156536,1158544,2.98806713,1.006133333,0.766334259,0.393257639,0.267716667,0.268181481
4352000,13009471,4377393,3330888,1710624,1160438,1171960,2.989308594,1.005834789,0.765369485,0.393066176,0.266644761,0.269292279
4384000,13100184,4411192,3355087,1719295,1173072,1176112,2.988180657,1.006202555,0.765302692,0.392174954,0.267580292,0.268273723
4416000,13201536,4443319,3378926,1736383,1183221,1183756,2.989478261,1.006186368,0.765155344,0.393202672,0.267939538,0.268060688
4448000,13294716,4476405,3402796,1751119,1198092,1198020,2.988919964,1.006386016,0.765017086,0.393686826,0.269355216,0.269339029
4480000,13393680,4506775,3431313,1762855,1203914,1205848,2.989660714,1.005976563,0.76591808,0.39349442,0.268730804,0.2691625
4512000,13488708,4541613,3454855,1770216,1223486,1217433,2.989518617,1.006563165,0.765703679,0.392335106,0.271162677,0.269821144
4544000,13580812,4571606,3478687,1786965,1243149,1226961,2.988735035,1.006075264,0.765556118,0.393258143,0.273580326,0.270017826
4576000,13681356,4603620,3498883,1803715,1254120,1231526,2.989806818,1.006035839,0.76461604,0.394168488,0.274064685,0.269127185
4608000,13776645,4632552,3527064,1815933,1259400,1241644,2.989723307,1.005328125,0.765421875,0.394082682,0.273307292,0.269453993
4640000,13868930,4666394,3547147,1824225,1271913,1247047,2.988993534,1.005688362,0.764471336,0.39315194,0.274119181,0.268760129
4672000,13968904,4701590,3574562,1842218,1277431,1260175,2.989919521,1.006333476,0.765103168,0.39431036,0.273422731,0.269729238
4704000,14065663,4731345,3595564,1852190,1291903,1262313,2.990149447,1.005813138,0.764363095,0.393747874,0.274639243,0.268348852
4736000,14160319,4762466,3622519,1862431,1299499,1279387,2.989932221,1.00558826,0.764889992,0.393249789,0.274387458,0.270140836
