reduction -- vector examples,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,,,  combine8_2,  combine8_4,  combine8_8 
4224000,12600472,4235256,1649515,857776,597739,604125,2.983066288,1.002664773,0.39051018,0.20307197,0.14151018,0.143022017,,,,
4256000,12696561,4270944,1665252,868507,601742,686798,2.983214521,1.003511278,0.391271617,0.204066494,0.141386748,0.161371711,,,,
4288000,12792626,4303879,1673712,869752,611388,612744,2.983354944,1.003703125,0.390324627,0.202833955,0.142581157,0.142897388,,,,
4320000,12896942,4337596,1681752,875743,609748,687847,2.985403241,1.004073148,0.389294444,0.202718287,0.14114537,0.159223843,,,,
4352000,12984496,4369207,1698048,887750,613754,627326,2.983569853,1.003953814,0.390176471,0.203986673,0.141028033,0.144146599,,,,
4384000,13084776,4399953,1710091,887764,617755,696165,2.984666058,1.003638914,0.390075502,0.202500912,0.140911268,0.158796761,,,,
4416000,13180500,4427208,1717747,898603,630259,628142,2.984714674,1.002538043,0.388982563,0.203487998,0.142721694,0.142242301,,,,
4448000,13277284,4463911,1736140,899762,625742,704167,2.985000899,1.003577113,0.390319245,0.202284622,0.140679406,0.158310926,,,,
4480000,13368518,4494031,1746012,905745,629731,645770,2.984044196,1.00313192,0.389734821,0.202175223,0.140564955,0.144145089,,,,
4512000,13468903,4530324,1757702,918573,633739,712063,2.985129211,1.00406117,0.389561613,0.203584441,0.140456339,0.157815381,,,,
4544000,13564454,4559167,1765744,917752,643543,644143,2.985135123,1.003337808,0.388588028,0.20197007,0.14162478,0.141756822,,,,
4576000,13657444,4591267,1782120,923767,641762,725899,2.984581294,1.00333632,0.389449301,0.201872159,0.140245192,0.158631774,,,,
4608000,13756094,4624272,1795063,934646,645748,652082,2.985263455,1.00353125,0.389553602,0.202831163,0.140136285,0.141510851,,,,
4640000,13855408,4656482,1805685,935762,655927,728184,2.98607931,1.003552155,0.38915625,0.201672845,0.141363578,0.156936207,,,,
4672000,13948233,4690176,1813737,946744,653803,660134,2.985495077,1.003890411,0.388214255,0.202642123,0.139940711,0.141295805,,,,
4704000,14040556,4719069,1830182,947757,657763,742423,2.984812075,1.003203444,0.389069303,0.201478954,0.13983057,0.157828019,,,,
4736000,14140951,4751155,1842069,953757,661744,668227,2.985842694,1.003199958,0.38895038,0.201384502,0.139726351,0.141095228,,,,
4768000,14236101,4784114,1853762,967483,672976,744105,2.985759438,1.003379614,0.388792366,0.202911703,0.141144295,0.15606229,,,,
4800000,14333064,4814025,1861742,965755,669763,683731,2.986055,1.002921875,0.387862917,0.201198958,0.139533958,0.142443958,,,,
4832000,14428562,4849987,1878076,976944,673764,751956,2.98604346,1.003722475,0.388674669,0.202182119,0.139437914,0.155620033,,,,
4864000,14525376,4881667,1890067,977776,683635,685027,2.986302632,1.003632196,0.388582854,0.201023026,0.140549959,0.140836143,,,,
4896000,14623524,4911086,1902057,983764,681753,760156,2.986830882,1.003081291,0.388492034,0.20093219,0.139246936,0.155260621,,,,
4928000,14716420,4944264,1913750,994260,685752,698356,2.986286526,1.003300325,0.388342127,0.201757305,0.139154221,0.141711851,,,,
4960000,14822496,4975972,1921742,995748,689752,768180,2.988406452,1.003220161,0.387447984,0.200755645,0.139062903,0.154875,,,,
4992000,14912716,5010196,1937560,1008955,699804,700096,2.987322917,1.003645032,0.388133013,0.202114383,0.140185096,0.14024359,,,,
5024000,15008916,5039520,1950967,1007755,697768,783477,2.987443471,1.003089172,0.388329419,0.200588177,0.138886943,0.155946855,,,,
5056000,15102103,5070672,1962052,1021243,701760,708888,2.986966574,1.002901899,0.388064082,0.201986353,0.138797468,0.140207278,,,,
5088000,15201300,5104000,1973752,1019772,715375,783873,2.987676887,1.003144654,0.387922956,0.200426887,0.140600432,0.15406309,,,,
5120000,15293296,5134125,1981747,1025736,709752,723799,2.986971875,1.002758789,0.387059961,0.200339063,0.138623438,0.141366992,,,,
5152000,15392181,5173670,1997882,1036639,713740,792177,2.987612772,1.004206134,0.387787655,0.201210986,0.138536491,0.153761064,,,,
5184000,15491241,5199264,2010100,1037786,717768,724377,2.988279514,1.002944444,0.387750772,0.200190201,0.138458333,0.139733218,,,,
5216000,15580387,5231143,2022072,1050127,728997,806337,2.987037385,1.002903183,0.387667178,0.201328029,0.139761695,0.154589149,,,,
