reduction -- vector examples,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_4 ,,,,,, combine4, combine6_5, combine8,  combine8_4 
4736000,14139986,4750413,1841882,662496,2.985638936,1.003043285,0.388910895,0.139885135,,,,,
4768000,14236492,4784224,1849788,666525,2.985841443,1.003402685,0.387958893,0.139791317,,,,,
4800000,14331892,4815304,1865625,674680,2.985810833,1.003188333,0.388671875,0.140558333,,,,,
4832000,14428382,4849332,1878314,674460,2.986006209,1.003586921,0.388723924,0.139581954,,,,,
4864000,14524596,4879291,1890321,678494,2.98614227,1.003143709,0.388635074,0.13949301,,,,,
4896000,14619928,4910400,1897804,689068,2.986096405,1.002941176,0.387623366,0.140741013,,,,,
4928000,14716888,4944091,1913592,686728,2.986381494,1.003265219,0.388310065,0.139352273,,,,,
4960000,14819716,4978819,1926559,692748,2.987845968,1.003794153,0.388419153,0.139666935,,,,,
4992000,14909203,5009344,1938316,694560,2.986619191,1.003474359,0.388284455,0.139134615,,,,,
5024000,15004720,5039280,1950242,702590,2.98660828,1.003041401,0.388185111,0.139846736,,,,,
5056000,15099724,5070578,1961889,702662,2.986496044,1.002883307,0.388031843,0.13897587,,,,,
5088000,15200407,5104305,1969797,706528,2.987501376,1.003204599,0.387145637,0.138861635,,,,,
5120000,15292039,5135524,1985683,718003,2.986726367,1.003032031,0.387828711,0.140234961,,,,,
5152000,15392215,5169290,1998297,714616,2.987619371,1.003355978,0.387868207,0.138706522,,,,,
5184000,15488702,5199254,2010290,718788,2.987789738,1.002942515,0.387787423,0.138655093,,,,,
5216000,15579931,5234731,2022417,726835,2.986949962,1.003591066,0.387733321,0.139347201,,,,,
5248000,15680863,5266939,2033923,726458,2.987969322,1.003608803,0.387561547,0.138425686,,,,,
5280000,15781132,5295679,2041831,730384,2.988850758,1.002969508,0.386710417,0.138330303,,,,,
5312000,15867998,5329780,2057784,734760,2.987198419,1.003347139,0.387384036,0.138320783,,,,,
5344000,15968486,5359303,2071137,742324,2.988114895,1.002863585,0.387563061,0.138907934,,,,,
5376000,16060756,5397400,2082302,742526,2.987491815,1.003980655,0.387332961,0.138118676,,,,,
5408000,16162022,5424324,2094348,746450,2.988539571,1.003018491,0.387268491,0.138026997,,,,,
5440000,16256673,5454307,2106316,755047,2.988359007,1.002629963,0.387190441,0.138795404,,,,,
5472000,16355020,5495157,2117995,754509,2.988855994,1.004231908,0.38706049,0.137885417,,,,,
5504000,16447725,5519409,2129930,758544,2.988322129,1.0027996,0.386978561,0.13781686,,,,,
5536000,16544726,5552647,2137828,766941,2.988570448,1.003007045,0.386168353,0.13853703,,,,,
5568000,16636058,5589376,2153764,766824,2.987797773,1.00383908,0.386811063,0.137719828,,,,,
5600000,16736685,5614363,2168712,770388,2.98869375,1.002564821,0.38727,0.137569286,,,,,
5632000,16835671,5649355,2178331,778989,2.989288175,1.003081499,0.386777521,0.138314808,,,,,
5664000,16932446,5692308,2190352,778540,2.989485523,1.004997881,0.386714689,0.137454096,,,,,
5696000,17023944,5720580,2203356,782769,2.988754213,1.004315309,0.38682514,0.137424333,,,,,
5728000,17121148,5755528,2214340,790764,2.989027235,1.004805866,0.386581704,0.138052374,,,,,
5760000,17216841,5785922,2226326,790437,2.989034896,1.004500347,0.386514931,0.137228646,,,,,
5792000,17312025,5814938,2238324,794476,2.988954593,1.00396029,0.386450967,0.137167818,,,,,
5824000,17408762,5850211,2250072,803188,2.989141827,1.004500515,0.38634478,0.137910027,,,,,
5856000,17508916,5876726,2262002,802396,2.989910519,1.003539276,0.386270833,0.137021175,,,,,
5888000,17601093,5920440,2274012,806440,2.989316067,1.005509511,0.386211277,0.136963315,,,,,
5920000,17695920,5937117,2285913,815004,2.989175676,1.002891385,0.386133953,0.137669595,,,,,
5952000,17796976,5973528,2293797,814692,2.990083333,1.003616935,0.38538256,0.136877016,,,,,
5984000,17889069,6000936,2309726,820792,2.989483456,1.002830214,0.385983623,0.137164439,,,,,
6016000,17987882,6034608,2321769,826924,2.990006981,1.003093085,0.385932347,0.137454122,,,,,
6048000,18080827,6066840,2333805,826574,2.989554729,1.003115079,0.385880456,0.136668981,,,,,
6080000,18184564,6098344,2345757,830781,2.990882237,1.003017105,0.385815296,0.136641612,,,,,
6112000,18276998,6130437,2357846,838752,2.990346531,1.003016525,0.385773233,0.137230366,,,,,
6144000,18368258,6165636,2370038,838500,2.989625326,1.003521484,0.385748372,0.136474609,,,,,
6176000,18468952,6191008,2381844,842517,2.990439119,1.002430052,0.385661269,0.136417908,,,,,
6208000,18564976,6228280,2393846,851251,2.990492268,1.003266753,0.385606637,0.137121617,,,,,
6240000,18656088,6259718,2406422,850404,2.989757692,1.003159936,0.385644551,0.136282692,,,,,
6272000,18757003,6291960,2417707,854474,2.990593591,1.003182398,0.385476244,0.136236288,,,,,
6304000,18853809,6323340,2429774,862440,2.990769194,1.003067893,0.385433693,0.136808376,,,,,
6336000,18948753,6350930,2442004,862737,2.990649148,1.002356376,0.385417298,0.136164299,,,,,
6368000,19045243,6389272,2453788,870825,2.990773084,1.003340452,0.38533103,0.136750157,,,,,
6400000,19140420,6418380,2465848,870578,2.990690625,1.002871875,0.38528875,0.136027813,,,,,
6432000,19236967,6449407,2477808,874622,2.990821984,1.002706312,0.385231343,0.135979789,,,,,
6464000,19336209,6483460,2489779,883262,2.991368967,1.00301052,0.385176207,0.136643255,,,,,
6496000,19429039,6515668,2505652,882436,2.990923491,1.003027709,0.385722291,0.13584298,,,,,
6528000,19524163,6551169,2514084,886461,2.990833793,1.003549173,0.385123162,0.135793658,,,,,
6560000,19625320,6577063,2525973,895072,2.991664634,1.002601067,0.38505686,0.136443902,,,,,
6592000,19720881,6613675,2538067,894739,2.991638501,1.003288076,0.3850223,0.135731038,,,,,
6624000,19813032,6644522,2550345,902491,2.991097826,1.003098128,0.385015851,0.136245622,,,,,
6656000,19909020,6676984,2562453,902462,2.991138822,1.003152644,0.384983924,0.135586238,,,,,
6688000,20004513,6704851,2575303,906657,2.991105413,1.002519587,0.385063248,0.135564743,,,,,
6720000,20105061,6738880,2586470,915235,2.991824554,1.002809524,0.384891369,0.136195685,,,,,
6752000,20197447,6774988,2598398,914376,2.991328051,1.003404621,0.384833827,0.135422986,,,,,
6784000,20297102,6803428,2610429,918468,2.991907724,1.002863797,0.384792011,0.135387382,,,,,
6816000,20389060,6834753,2622396,926942,2.9913527,1.00275132,0.384741197,0.135995012,,,,,
6848000,20492066,6869716,2634417,926743,2.99241618,1.003171145,0.384698744,0.135330461,,,,,
6880000,20646345,6894876,2645841,934970,3.000922238,1.002162209,0.384569913,0.135896802,,,,,
6912000,20681500,6944428,2663664,934464,2.992115162,1.004691551,0.385368056,0.135194444,,,,,
6944000,20777428,6972396,2670045,938695,2.992141129,1.004089286,0.384511089,0.135180732,,,,,
6976000,20869387,7005223,2682122,947222,2.991597907,1.004189077,0.384478498,0.13578297,,,,,
7008000,20969330,7036111,2696558,948614,2.992198916,1.004011273,0.38478282,0.135361587,,,,,
7040000,21065728,7069003,2706463,954991,2.992290909,1.004119744,0.384440767,0.135652131,,,,,
7072000,21161169,7101532,2718470,954609,2.992246748,1.004175905,0.384399038,0.134984304,,,,,
7104000,21253663,7124020,2730463,958831,2.991788148,1.002818131,0.384355715,0.13497058,,,,,
7136000,21353608,7154908,2742134,966972,2.992377803,1.002649664,0.384267657,0.135506166,,,,,
