dot product examples,,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,,
testing option 6,,,,,,,,,,,,,,,,,
testing option 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8,,,,,,,,,
3360,6.25E+09,6.25E+09,6.25E+09,6.25E+09,6.25E+09,6.25E+09,5.73E+09,6.25E+09,,,,,,,,,
3392,6.45E+09,6.45E+09,6.45E+09,6.45E+09,6.45E+09,6.45E+09,5.91E+09,6.45E+09,,,,,,,,,
3424,6.62E+09,6.62E+09,6.62E+09,6.62E+09,6.62E+09,6.62E+09,6.07E+09,6.62E+09,,,,,,,,,
3456,6.79E+09,6.79E+09,6.79E+09,6.79E+09,6.79E+09,6.79E+09,6.22E+09,6.79E+09,,,,,,,,,
3488,6.98E+09,6.98E+09,6.98E+09,6.98E+09,6.98E+09,6.98E+09,6.41E+09,6.98E+09,,,,,,,,,
3520,7.20E+09,7.20E+09,7.20E+09,7.20E+09,7.20E+09,7.20E+09,6.61E+09,7.20E+09,,,,,,,,,
3552,7.46E+09,7.46E+09,7.46E+09,7.46E+09,7.46E+09,7.46E+09,6.86E+09,7.46E+09,,,,,,,,,
3584,7.72E+09,7.72E+09,7.72E+09,7.72E+09,7.72E+09,7.72E+09,7.09E+09,7.72E+09,,,,,,,,,
3616,7.89E+09,7.89E+09,7.89E+09,7.89E+09,7.89E+09,7.89E+09,7.25E+09,7.89E+09,,,,,,,,,
3648,8.12E+09,8.12E+09,8.12E+09,8.12E+09,8.12E+09,8.12E+09,7.46E+09,8.12E+09,,,,,,,,,
3680,8.37E+09,8.37E+09,8.37E+09,8.37E+09,8.37E+09,8.37E+09,7.68E+09,8.37E+09,,,,,,,,,
3712,8.62E+09,8.62E+09,8.62E+09,8.62E+09,8.62E+09,8.62E+09,7.91E+09,8.62E+09,,,,,,,,,
3744,8.82E+09,8.82E+09,8.82E+09,8.82E+09,8.82E+09,8.82E+09,8.10E+09,8.82E+09,,,,,,,,,
3776,9.03E+09,9.03E+09,9.03E+09,9.03E+09,9.03E+09,9.03E+09,8.29E+09,9.03E+09,,,,,,,,,
3808,9.27E+09,9.27E+09,9.27E+09,9.27E+09,9.27E+09,9.27E+09,8.51E+09,9.27E+09,,,,,,,,,
3840,9.47E+09,9.47E+09,9.47E+09,9.47E+09,9.47E+09,9.47E+09,8.69E+09,9.47E+09,,,,,,,,,
3872,9.76E+09,9.76E+09,9.76E+09,9.76E+09,9.76E+09,9.76E+09,8.96E+09,9.76E+09,,,,,,,,,
3904,9.99E+09,9.99E+09,9.99E+09,9.99E+09,9.99E+09,9.99E+09,9.17E+09,9.99E+09,,,,,,,,,
3936,1.03E+10,1.03E+10,1.03E+10,1.03E+10,1.03E+10,1.03E+10,9.40E+09,1.03E+10,,,,,,,,,
3968,1.05E+10,1.05E+10,1.05E+10,1.05E+10,1.05E+10,1.05E+10,9.66E+09,1.05E+10,,,,,,,,,
4000,1.08E+10,1.08E+10,1.08E+10,1.08E+10,1.08E+10,1.08E+10,9.96E+09,1.08E+10,,,,,,,,,
4032,1.11E+10,1.11E+10,1.11E+10,1.11E+10,1.11E+10,1.11E+10,1.02E+10,1.11E+10,,,,,,,,,
4064,1.14E+10,1.14E+10,1.14E+10,1.14E+10,1.14E+10,1.14E+10,1.05E+10,1.14E+10,,,,,,,,,
4096,1.17E+10,1.17E+10,1.17E+10,1.17E+10,1.17E+10,1.17E+10,1.07E+10,1.17E+10,,,,,,,,,
4128,1.19E+10,1.19E+10,1.19E+10,1.19E+10,1.19E+10,1.19E+10,1.10E+10,1.19E+10,,,,,,,,,
4160,1.22E+10,1.22E+10,1.22E+10,1.22E+10,1.22E+10,1.22E+10,1.12E+10,1.22E+10,,,,,,,,,
4192,1.24E+10,1.24E+10,1.24E+10,1.24E+10,1.24E+10,1.24E+10,1.14E+10,1.24E+10,,,,,,,,,
4224,1.27E+10,1.27E+10,1.27E+10,1.27E+10,1.27E+10,1.27E+10,1.17E+10,1.27E+10,,,,,,,,,
4256,1.30E+10,1.30E+10,1.30E+10,1.30E+10,1.30E+10,1.30E+10,1.19E+10,1.30E+10,,,,,,,,,
4288,1.33E+10,1.33E+10,1.33E+10,1.33E+10,1.33E+10,1.33E+10,1.22E+10,1.33E+10,,,,,,,,,
4320,1.36E+10,1.36E+10,1.36E+10,1.36E+10,1.36E+10,1.36E+10,1.25E+10,1.36E+10,,,,,,,,,
4352,1.39E+10,1.39E+10,1.39E+10,1.39E+10,1.39E+10,1.39E+10,1.27E+10,1.39E+10,,,,,,,,,
4384,1.42E+10,1.42E+10,1.42E+10,1.42E+10,1.42E+10,1.42E+10,1.30E+10,1.42E+10,,,,,,,,,
4416,1.45E+10,1.45E+10,1.45E+10,1.45E+10,1.45E+10,1.45E+10,1.33E+10,1.45E+10,,,,,,,,,
4448,1.49E+10,1.49E+10,1.49E+10,1.49E+10,1.49E+10,1.49E+10,1.37E+10,1.49E+10,,,,,,,,,
4480,1.52E+10,1.52E+10,1.52E+10,1.52E+10,1.52E+10,1.52E+10,1.40E+10,1.52E+10,,,,,,,,,
4512,1.55E+10,1.55E+10,1.55E+10,1.55E+10,1.55E+10,1.55E+10,1.43E+10,1.55E+10,,,,,,,,,
4544,1.58E+10,1.58E+10,1.58E+10,1.58E+10,1.58E+10,1.58E+10,1.46E+10,1.58E+10,,,,,,,,,
4576,1.62E+10,1.62E+10,1.62E+10,1.62E+10,1.62E+10,1.62E+10,1.49E+10,1.62E+10,,,,,,,,,
4608,1.65E+10,1.65E+10,1.65E+10,1.65E+10,1.65E+10,1.65E+10,1.52E+10,1.65E+10,,,,,,,,,
